,Year,District,2 Year,4 Year,Not Enrolled,all_students,female,male,gender_x,american_indian_alaskan_native,asian,black_african_american,hispanic_latino_of_any_race,native_hawaiian_other_pacific,two_or_more_races,white,english_language_learners,highly_capable,low_income,non_english_language_learners,non_highly_capable,non_low_income
198,2015,Clover Park,0.2866666666666667,0.27,0.4466666666666667,13214,6337,6877,0,67,584,1636,4237,561,1733,4391,1418,62,9903,11796,13152,3311
199,2015,Colfax,0.14,0.55,0.31,600,274,326,0,3,4,1,20,0,45,527,0,0,191,600,600,409
200,2015,Columbia (Walla Walla),0.4,0.23,0.37,855,427,428,0,6,5,7,278,0,17,542,116,31,450,739,824,405
201,2015,Colville,0.245,0.195,0.56,1823,910,913,0,32,10,10,91,1,77,1602,28,0,1021,1795,1823,802
202,2015,Coupeville,0.37,0.35,0.28,962,504,458,0,0,13,15,129,0,104,700,25,0,342,937,962,620
203,2015,Darrington,0.33,0.22,0.44,446,221,225,0,18,3,2,34,0,31,358,6,1,290,440,445,156
204,2015,Davenport,0.15,0.21,0.64,607,322,285,0,13,3,1,16,0,7,567,0,2,369,607,605,238
205,2015,Dayton,0.23,0.36,0.41,414,218,196,0,14,4,3,65,0,8,320,2,0,258,412,414,156
206,2015,Deer Park,0.23,0.2,0.56,2532,1236,1296,0,61,14,37,125,6,16,2273,11,249,1360,2521,2283,1172
207,2015,East Valley (Spokane),0.31,0.22,0.47,4354,2141,2213,0,47,56,49,436,42,313,3411,125,182,2516,4229,4172,1838
208,2015,East Valley (Yakima),0.28,0.26,0.46,3131,1497,1634,0,27,24,29,1467,4,66,1514,430,1,1920,2701,3130,1211
209,2015,Eastmont,0.36,0.23,0.42,6021,2913,3108,0,16,40,19,2752,5,170,3019,1106,0,3343,4915,6021,2678
210,2015,Eatonville,0.29,0.28,0.43,1920,949,971,0,15,10,11,127,10,116,1631,10,29,826,1910,1891,1094
211,2015,Edmonds,0.35,0.376,0.272,21049,10128,10921,0,103,2654,1297,4110,152,2180,10552,2573,814,8671,18476,20235,12378
212,2015,Ellensburg,0.13,0.42,0.445,3244,1598,1646,0,26,56,41,552,9,52,2508,245,193,1338,2999,3051,1906
213,2015,Elma,0.305,0.15500000000000003,0.535,1436,699,737,0,17,9,6,266,0,121,994,117,7,921,1319,1429,515
214,2015,Enumclaw,0.24,0.31,0.45,4103,1957,2146,0,53,23,30,606,16,162,3213,230,91,1448,3873,4012,2655
215,2015,Ephrata,0.33,0.245,0.42500000000000004,2426,1179,1247,0,4,13,12,751,1,49,1596,260,62,1440,2166,2364,986
216,2015,Everett,0.3025,0.3325,0.3625,20151,9918,10233,0,114,2573,806,3688,253,1451,11265,2532,1082,8813,17619,19069,11338
217,2015,Evergreen (Clark),0.275,0.2575,0.4725,26240,12646,13594,0,143,1705,698,5335,492,2104,15762,3225,1320,13726,23015,24920,12514
218,2015,Federal Way,0.27,0.364,0.366,23571,11412,12159,0,143,2658,2943,6741,1151,2995,6940,3958,1306,15248,19613,22265,8323
219,2015,Ferndale,0.375,0.3,0.325,4841,2362,2479,0,417,162,44,890,7,288,3033,288,962,2342,4553,3879,2499
220,2015,Fife,0.35,0.26,0.39,3700,1807,1893,0,32,290,139,732,150,473,1884,401,0,1773,3299,3700,1927
221,2015,Finley,0.28,0.12,0.6,911,425,486,0,3,2,4,394,0,29,479,138,0,700,773,911,211
222,2015,Franklin Pierce,0.21,0.2966666666666667,0.49666666666666665,7889,3848,4041,0,58,510,810,2067,427,1121,2895,687,1548,6456,7202,6341,1433
223,2015,Goldendale,0.38,0.15,0.46,884,406,478,0,41,8,5,124,2,43,659,34,10,536,850,874,348
224,2015,Grandview,0.28,0.2,0.52,3787,1905,1882,0,1,3,2,3488,0,14,279,1298,1,3253,2489,3786,534
225,2015,Granger,0.2,0.32,0.48,1594,763,831,0,42,0,2,1480,0,17,53,585,0,1407,1009,1594,187
226,2015,Granite Falls,0.275,0.16499999999999998,0.56,2049,974,1075,0,37,13,23,201,6,107,1662,49,0,982,2000,2049,1067
227,2015,Highland,0.33,0.19,0.48,1175,554,621,0,6,4,5,864,0,26,270,326,94,956,849,1081,219
228,2015,Highline,0.28375,0.29125,0.425,19930,9533,10397,0,162,2867,2663,7561,814,1268,4595,5218,593,14481,14712,19337,5449
229,2015,Hockinson,0.25,0.45,0.29,1890,918,972,0,8,45,14,89,1,52,1681,35,210,417,1855,1680,1473
230,2015,Hoquiam,0.54,0.13,0.33,1730,844,886,0,104,12,31,301,1,84,1197,69,40,1150,1661,1690,580
231,2015,Issaquah,0.20750000000000002,0.6625,0.1325,19882,9742,10140,0,39,5126,335,1579,58,1366,11379,1169,722,1879,18713,19160,18003
232,2015,Kalama,0.25,0.22,0.52,933,429,504,0,7,11,6,51,5,14,839,29,16,349,904,917,584
233,2015,Kelso,0.375,0.15,0.47,4984,2511,2473,0,66,52,18,827,47,335,3639,308,98,3014,4676,4886,1970
234,2015,Kennewick,0.3,0.26249999999999996,0.435,17937,8577,9360,0,75,375,408,6552,38,593,9896,2499,246,10853,15438,17691,7084
235,2015,Kent,0.35000000000000003,0.32166666666666666,0.33166666666666667,28063,13424,14639,0,109,5022,3381,6128,707,2717,9999,5233,398,15273,22830,27665,12790
236,2015,Kettle Falls,0.19,0.22,0.59,912,465,447,0,16,10,9,57,2,31,787,3,26,480,909,886,432
237,2015,Kittitas,0.16,0.5,0.34,666,320,346,0,1,8,4,155,1,9,488,56,1,327,610,665,339
238,2015,La Center,0.37,0.275,0.355,1642,788,854,0,5,15,10,106,0,28,1478,38,0,459,1604,1642,1183
239,2015,La Conner,0.32,0.38,0.3,637,312,325,0,222,5,2,62,2,23,320,84,15,353,553,622,284
240,2015,Lake Chelan,0.29500000000000004,0.29500000000000004,0.405,1474,691,783,0,2,5,3,797,0,16,651,400,29,985,1074,1445,489
241,2015,Lake Stevens,0.32,0.28,0.4,8655,4089,4566,0,38,279,143,1145,32,695,6323,338,350,2865,8317,8305,5790
242,2015,Lake Washington,0.17,0.655,0.17500000000000002,28126,13598,14528,0,56,6622,462,3068,34,2135,15736,2556,1606,3878,25570,26520,24248
243,2015,Lakewood,0.35,0.28,0.37,2347,1125,1222,0,25,48,32,359,20,153,1710,121,23,925,2226,2324,1422
244,2015,Liberty,0.29,0.38,0.33,441,205,236,0,3,2,2,28,0,13,393,4,12,170,437,429,271
245,2015,Longview,0.3566666666666667,0.25666666666666665,0.38666666666666666,6873,3389,3484,0,80,117,67,1399,35,489,4686,411,215,4453,6462,6658,2420
246,2015,Lynden,0.295,0.235,0.47,3113,1520,1593,0,14,69,38,742,4,121,2125,300,0,1195,2813,3113,1918
247,2015,Mabton,0.15,0.17,0.68,994,498,496,0,3,0,0,967,0,0,24,480,0,949,514,994,45
248,2015,Manson,0.23,0.37,0.4,696,329,367,0,6,4,4,482,0,2,198,285,0,557,411,696,139
249,2015,Marysville,0.36,0.22428571428571428,0.41714285714285715,11331,5572,5759,0,689,572,174,2462,90,1161,6183,961,272,6027,10370,11059,5304
250,2015,Mead,0.3125,0.3775,0.3125,9928,4822,5106,0,45,90,128,583,74,771,8237,270,680,3242,9658,9248,6686
251,2015,Medical Lake,0.27,0.30000000000000004,0.43000000000000005,2003,933,1070,0,10,20,64,215,8,185,1501,18,14,810,1985,1989,1193
252,2015,Mercer Island,0.09,0.73,0.18,4457,2087,2370,0,9,865,44,186,8,358,2987,111,704,188,4346,3753,4269
253,2015,Meridian,0.34,0.32,0.33,1755,824,931,0,19,82,23,316,4,67,1244,137,8,700,1618,1747,1055
254,2015,Methow Valley,0.15000000000000002,0.44499999999999995,0.41000000000000003,620,295,325,0,5,4,1,39,0,15,556,9,79,305,611,541,315
255,2015,Monroe,0.25,0.32,0.43,7022,3432,3590,0,52,161,74,1381,15,357,4980,550,1163,2054,6472,5859,4968
256,2015,Montesano,0.44,0.19,0.38,1406,683,723,0,23,14,0,151,1,88,1129,26,1,560,1380,1405,846
257,2015,Moses Lake,0.31,0.24,0.44,8316,4105,4211,0,47,76,100,3785,4,199,4105,1115,279,5511,7201,8037,2805
258,2015,Mount Adams,0.16,0.29,0.55,961,455,506,0,514,0,0,364,0,47,36,127,1,849,834,960,112
259,2015,Mount Vernon,0.32,0.295,0.39,6716,3316,3400,0,41,114,59,3681,48,154,2619,1676,0,4589,5040,6716,2127
260,2015,Mukilteo,0.33666666666666667,0.33666666666666667,0.32666666666666666,15614,7442,8172,0,68,2317,939,4384,186,1392,6328,2994,446,8398,12620,15168,7216
261,2015,Napavine,0.43,0.09,0.48,795,364,431,0,4,6,4,101,0,32,648,25,0,399,770,795,396
262,2015,Newport,0.20500000000000002,0.255,0.55,1086,519,567,0,6,5,2,48,1,60,964,8,137,675,1078,949,411
263,2015,Nine Mile Falls,0.39,0.35,0.25,1453,727,726,0,27,6,10,71,3,84,1252,0,55,475,1453,1398,978
264,2015,Nooksack Valley,0.39,0.1,0.51,1674,817,857,0,63,13,5,559,1,93,940,227,0,978,1447,1674,696
265,2015,North Franklin,0.195,0.29000000000000004,0.515,2143,1018,1125,0,3,26,6,1525,1,27,555,656,35,1655,1487,2108,488
266,2015,North Kitsap,0.29666666666666663,0.42,0.2833333333333334,6155,3067,3088,0,255,178,65,782,21,684,4170,202,295,2241,5953,5860,3914
267,2015,North Mason,0.27,0.22999999999999998,0.495,2178,1076,1102,0,22,22,14,412,12,148,1548,184,24,1246,1994,2154,932
268,2015,Northshore,0.23800000000000004,0.46399999999999997,0.296,21564,10447,11117,0,74,3365,409,2741,50,1803,13122,1507,742,3713,20057,20822,17851
269,2015,Oak Harbor,0.28500000000000003,0.24,0.475,5898,2840,3058,0,29,449,275,864,49,624,3608,202,250,2623,5696,5648,3275
270,2015,Ocean Beach,0.27,0.19,0.53,1024,479,545,0,13,10,0,197,0,64,740,64,28,704,960,996,320
271,2015,Ocosta,0.33,0.11,0.56,628,298,330,0,28,5,3,120,0,68,404,50,13,472,578,615,156
272,2015,Okanogan,0.2,0.37,0.43,1113,539,574,0,97,5,3,274,0,64,670,104,3,687,1009,1110,426
273,2015,Olympia,0.24,0.49,0.26666666666666666,9973,4790,5183,0,40,755,228,1046,19,987,6893,234,44,3248,9739,9929,6725
274,2015,Omak,0.235,0.255,0.5,5522,2787,2735,0,436,173,240,680,48,168,3776,164,16,2495,5358,5506,3027
275,2015,Onalaska,0.39,0.2,0.41,785,372,413,0,7,3,2,89,0,35,649,30,0,472,755,785,313
276,2015,Oroville,0.22,0.22,0.56,537,249,288,0,11,8,1,196,2,12,307,78,13,391,459,524,146
277,2015,Orting,0.25,0.22,0.53,2506,1238,1268,0,17,31,30,334,14,200,1880,46,26,1007,2460,2480,1499
278,2015,Othello,0.335,0.245,0.42,4316,2071,2245,0,0,9,4,3820,0,16,467,1704,80,3610,2612,4236,706
279,2015,Pasco,0.315,0.15500000000000003,0.53,17515,8489,9026,0,14,190,206,12324,29,400,4352,6135,576,13088,11380,16939,4427
280,2015,Peninsula,0.21333333333333335,0.44999999999999996,0.33666666666666667,9068,4440,4628,0,45,174,71,701,25,760,7292,103,320,2403,8965,8748,6665
281,2015,Port Angeles,0.245,0.27,0.485,3836,1858,1978,0,172,60,36,322,5,415,2826,46,77,2200,3790,3759,1636
282,2015,Port Townsend,0.22,0.44,0.34,1175,578,597,0,15,27,14,85,6,69,959,18,0,657,1157,1175,518
283,2015,Prosser,0.25,0.33999999999999997,0.41500000000000004,2829,1395,1434,0,18,49,20,1743,6,17,968,680,61,1963,2149,2768,866
284,2015,Pullman,0.11,0.65,0.24,2844,1360,1484,0,14,295,76,297,9,194,1959,181,58,966,2663,2786,1878
285,2015,Puyallup,0.2475,0.335,0.4125,22142,10654,11488,0,194,1055,834,3407,311,2668,13673,1000,856,8417,21142,21286,13725
286,2015,Quillayute Valley,0.29,0.11,0.6,3133,1722,1411,0,127,48,113,608,15,224,1998,129,45,1887,3004,3088,1246
287,2015,Quincy,0.355,0.21000000000000002,0.435,2905,1460,1445,0,0,2,7,2540,0,9,346,1180,61,2530,1725,2844,375
288,2015,Rainier,0.3,0.28,0.42,828,408,420,0,6,6,5,79,2,47,683,4,0,453,824,828,375
289,2015,Raymond,0.49,0.24,0.27,665,324,341,0,21,31,1,158,2,14,438,86,0,389,579,665,276
290,2015,Reardan-Edwall,0.38,0.25,0.37,555,274,281,0,22,1,1,21,0,37,473,22,0,250,533,555,305
291,2015,Renton,0.40750000000000003,0.2875,0.3025,16061,7777,8284,0,100,3985,2623,3702,149,1247,4255,2512,1015,9051,13549,15046,7010
292,2015,Richland,0.25,0.39,0.36,13343,6529,6814,0,72,502,279,2229,27,503,9731,550,337,5135,12793,13006,8208
293,2015,Ridgefield,0.39,0.4,0.22,2514,1242,1272,0,6,39,15,279,8,137,2030,92,132,806,2422,2382,1708
294,2015,Ritzville,0.19,0.33,0.48,394,181,213,0,6,7,7,36,0,2,336,3,0,177,391,394,217
295,2015,Riverside,0.335,0.12,0.545,1492,703,789,0,38,10,11,67,4,35,1327,10,20,823,1482,1472,669
296,2015,Riverview,0.26,0.47,0.27,3263,1651,1612,0,18,91,15,433,10,150,2546,126,29,593,3137,3234,2670
297,2015,Rochester,0.32,0.15,0.53,2203,1043,1160,0,74,11,10,457,1,137,1513,122,113,1219,2081,2090,984
298,2015,Royal,0.31,0.29,0.4,1746,866,880,0,3,1,1,1454,0,3,284,798,0,1318,948,1746,428
299,2015,San Juan Island,0.19,0.535,0.275,797,398,399,0,5,12,4,133,1,41,601,29,52,375,768,745,422
300,2015,Sedro-Woolley,0.33,0.19,0.47,4383,2130,2253,0,100,42,30,844,5,149,3213,287,56,2415,4096,4327,1968
301,2015,Selah,0.37,0.305,0.33,3693,1799,1894,0,26,13,19,1005,3,90,2537,271,128,1946,3422,3565,1747
302,2015,Sequim,0.27,0.3,0.43,2851,1391,1460,0,46,47,15,303,5,198,2237,47,74,1420,2804,2777,1431
303,2015,Shelton,0.26,0.175,0.565,4316,2059,2257,0,143,26,22,1241,6,293,2585,506,128,3029,3810,4188,1287
304,2015,Shoreline,0.31,0.5,0.19000000000000003,9374,4506,4868,0,42,1266,671,1182,49,1084,5080,608,717,2822,8766,8657,6552
305,2015,Snohomish,0.3,0.3466666666666667,0.35333333333333333,10112,4918,5194,0,60,387,93,1024,19,576,7953,334,1224,2349,9778,8888,7763
306,2015,Snoqualmie Valley,0.20500000000000002,0.53,0.27,6901,3260,3641,0,32,330,52,467,14,318,5688,172,271,945,6729,6630,5956
307,2015,South Bend,0.54,0.15000000000000002,0.31,670,335,335,0,20,17,2,269,2,74,286,97,0,440,573,670,230
308,2015,South Kitsap,0.29000000000000004,0.25,0.45999999999999996,9591,4594,4997,0,88,284,123,1010,143,1099,6844,136,340,4260,9455,9251,5331
309,2015,South Whidbey,0.20500000000000002,0.385,0.41000000000000003,1406,719,687,0,14,38,13,95,3,47,1196,6,2,458,1400,1404,948
310,2015,Spokane,0.2542857142857143,0.3257142857142857,0.4185714285714286,30371,14681,15690,0,425,751,870,3088,465,3930,20842,1604,837,18189,28767,29534,12182
311,2015,Stanwood-Camano,0.26,0.355,0.385,4504,2188,2316,0,36,54,40,412,11,207,3744,96,126,1349,4408,4378,3155
312,2015,Stevenson-Carson,0.185,0.31,0.5,921,443,478,0,17,4,9,126,2,48,715,18,36,492,903,885,429
313,2015,Sumner,0.23333333333333336,0.3866666666666667,0.38000000000000006,9447,4675,4772,0,76,176,90,1228,29,794,7054,333,290,3361,9114,9157,6086
314,2015,Sunnyside,0.28,0.16,0.56,6807,3281,3526,0,1,3,8,6264,0,66,465,2114,36,5943,4693,6771,864
315,2015,Tacoma,0.2475,0.3675,0.3875,30527,15060,15467,0,358,2912,5406,6049,791,2624,12387,2859,1392,17891,27668,29135,12636
316,2015,Tahoma,0.3,0.44,0.26,8243,3994,4249,0,30,331,136,812,67,693,6174,165,104,1320,8078,8139,6923
317,2015,Tenino,0.3,0.22,0.48,1214,552,662,0,13,3,6,85,2,47,1057,8,18,598,1206,1196,616
318,2015,Toledo,0.265,0.355,0.38,757,362,395,0,17,6,4,84,1,42,603,21,6,421,736,751,336
319,2015,Tonasket,0.16,0.25,0.58,1156,557,599,0,7,2,4,445,0,40,658,179,0,796,977,1156,360
320,2015,Toppenish,0.20500000000000002,0.29000000000000004,0.505,4553,2248,2305,0,533,18,20,3389,1,42,550,1660,0,3769,2893,4553,784
321,2015,Tukwila,0.33,0.27,0.39,3158,1526,1632,0,26,874,647,914,105,209,383,1152,104,2566,2006,3054,592
322,2015,Tumwater,0.29666666666666663,0.3433333333333333,0.36000000000000004,6285,3049,3236,0,35,180,110,701,38,570,4651,112,46,2149,6173,6239,4136
323,2015,University Place,0.32,0.39,0.29,5669,2788,2881,0,30,535,523,773,53,893,2862,261,107,2383,5408,5562,3286
324,2015,Vancouver,0.26,0.3466666666666667,0.39166666666666666,23509,11533,11976,0,121,780,602,5813,433,1704,14056,3049,254,12942,20460,23255,10567
325,2015,Vashon Island,0.10500000000000001,0.615,0.28,1608,756,852,0,7,39,17,190,1,146,1208,56,55,419,1552,1553,1189
326,2015,Wahluke,0.39,0.155,0.45499999999999996,2481,1227,1254,0,14,0,1,2386,0,8,72,1418,0,2088,1063,2481,393
327,2015,Wapato,0.165,0.355,0.48,3459,1670,1789,0,704,51,1,2473,3,113,108,1095,55,3231,2364,3404,228
328,2015,Warden,0.28,0.28,0.43,978,484,494,0,0,2,0,783,0,13,180,307,0,741,671,978,237
329,2015,Washougal,0.28500000000000003,0.21500000000000002,0.51,3199,1536,1663,0,15,43,23,323,4,198,2593,74,0,1365,3125,3199,1834
330,2015,Wenatchee,0.345,0.33999999999999997,0.315,7979,3832,4147,0,29,63,43,3912,5,206,3721,1864,625,5034,6115,7354,2945
331,2015,West Valley (Spokane),0.3,0.3,0.4,3824,1859,1965,0,44,47,66,304,8,269,3086,101,25,2150,3723,3799,1674
332,2015,West Valley (Yakima),0.25,0.42,0.32,5035,2440,2595,0,49,127,47,1417,12,160,3223,359,375,2234,4676,4660,2801
333,2015,White River,0.19,0.28,0.53,3661,1746,1915,0,27,29,19,348,6,212,3020,73,79,1230,3588,3582,2431
334,2015,White Salmon Valley,0.195,0.365,0.435,1300,607,693,0,10,6,4,425,1,32,822,183,16,647,1117,1284,653
335,2015,Winlock,0.33499999999999996,0.125,0.54,702,312,390,0,3,3,2,186,0,37,471,84,0,639,618,702,63
336,2015,Woodland,0.255,0.195,0.55,2343,1107,1236,0,12,10,18,460,1,52,1790,158,286,1156,2185,2057,1187
337,2015,Yakima,0.27666666666666667,0.22333333333333336,0.5033333333333333,16356,8102,8254,0,136,74,136,12637,8,415,2950,5655,470,14321,10701,15886,2035
338,2015,Yelm,0.245,0.28,0.475,5689,2754,2935,0,84,80,75,796,53,562,4039,124,0,2684,5565,5689,3005
339,2015,Zillah,0.29,0.25,0.46,1352,629,723,0,62,4,2,665,1,50,568,138,0,797,1214,1352,555
340,2016,Aberdeen,0.41000000000000003,0.1,0.49,3500,1722,1778,0,125,70,34,1111,9,238,1913,482,89,2513,3018,3411,987
341,2016,Adna,0.42,0.22,0.37,643,303,340,0,6,4,3,44,0,14,572,3,0,195,640,643,448
342,2016,Anacortes,0.31,0.425,0.265,2844,1388,1456,0,22,97,28,291,4,72,2330,68,108,827,2776,2736,2017
343,2016,Arlington,0.325,0.255,0.42,5620,2693,2927,0,63,80,52,756,18,350,4301,269,0,2021,5351,5620,3599
344,2016,Asotin-Anatone,0.18,0.36,0.46,699,353,346,0,4,7,1,40,0,36,611,0,28,240,699,671,459
345,2016,Auburn,0.29000000000000004,0.2925,0.4175,16472,8091,8381,0,212,1392,1194,4733,583,1609,6749,2897,300,9353,13575,16172,7119
346,2016,Bainbridge Island,0.15,0.645,0.2,3897,1858,2039,0,21,123,20,298,4,326,3105,40,0,322,3857,3897,3575
347,2016,Battle Ground,0.292,0.252,0.45199999999999996,13478,6518,6960,0,47,289,80,1182,50,652,11176,788,219,4961,12690,13259,8517
348,2016,Bellevue,0.194,0.632,0.17400000000000002,21378,10161,11217,0,21,8210,577,2532,42,1932,8064,2871,1995,4147,18507,19383,17231
349,2016,Bellingham,0.2925,0.41000000000000003,0.2975,11556,5541,6015,0,116,663,198,1818,41,870,7850,790,192,4544,10766,11364,7012
350,2016,Bethel,0.2625,0.225,0.515,19418,9266,10152,0,227,756,1415,3237,683,2384,10655,769,995,10849,18649,18423,8569
351,2016,Blaine,0.35,0.31,0.34,2261,1071,1190,0,24,79,38,281,18,134,1687,90,165,1104,2171,2096,1157
352,2016,Bremerton,0.29000000000000004,0.195,0.515,5111,2407,2704,0,45,190,297,998,83,806,2692,284,75,3227,4827,5036,1884
353,2016,Brewster,0.425,0.255,0.32499999999999996,981,448,533,0,5,1,1,887,0,5,82,443,7,930,538,974,51
354,2016,Burlington-Edison,0.33,0.29000000000000004,0.38,3738,1787,1951,0,28,73,30,1545,9,127,1916,812,157,2011,2926,3581,1727
355,2016,Camas,0.275,0.445,0.275,7222,3559,3663,0,28,500,62,605,19,578,5430,215,128,1219,7007,7094,6003
356,2016,Cape Flattery,0.26,0.16,0.58,504,263,241,0,237,0,0,95,0,103,69,1,3,376,503,501,128
357,2016,Cascade,0.34,0.39,0.27,1362,687,675,0,8,6,7,396,0,25,911,184,0,663,1178,1362,699
358,2016,Central Kitsap,0.3725,0.2775,0.35,11093,5390,5703,0,45,543,354,1433,141,1926,6651,327,145,3485,10766,10948,7608
359,2016,Central Valley,0.25333333333333335,0.3333333333333333,0.41333333333333333,13898,6633,7265,0,144,222,243,1076,131,597,11485,486,1699,5821,13412,12199,8077
360,2016,Centralia,0.355,0.13,0.515,3631,1757,1874,0,22,24,32,1247,7,134,2164,449,73,2782,3182,3558,849
361,2016,Chehalis,0.405,0.245,0.35,3045,1374,1671,0,19,36,59,584,5,188,2154,160,15,1539,2885,3030,1506
362,2016,Cheney,0.21000000000000002,0.39,0.4,4775,2255,2520,0,87,86,81,482,33,299,3707,135,242,2389,4640,4533,2386
363,2016,Chewelah,0.15666666666666665,0.2866666666666667,0.5566666666666666,802,377,425,0,4,6,6,25,1,25,735,0,40,501,802,762,301
364,2016,Chimacum,0.28,0.23,0.49,1066,517,549,0,12,14,7,87,1,82,863,14,50,541,1052,1016,525
365,2016,Clarkston,0.13,0.435,0.435,2719,1355,1364,0,52,26,41,207,2,114,2277,25,19,1643,2694,2700,1076
366,2016,Cle Elum-Roslyn,0.18,0.355,0.46499999999999997,831,392,439,0,4,10,3,83,0,43,687,29,59,360,802,772,471
367,2016,Clover Park,0.2233333333333333,0.27,0.5033333333333333,13583,6542,7041,0,67,558,1681,4451,632,1791,4400,1572,66,9769,12011,13517,3814
368,2016,Colfax,0.22,0.47,0.31,610,285,325,0,2,4,1,25,0,40,538,0,0,204,610,610,406
369,2016,Columbia (Walla Walla),0.43,0.21,0.36,805,402,403,0,6,1,6,291,0,20,479,124,34,440,681,771,365
370,2016,Colville,0.20500000000000002,0.275,0.525,1740,869,871,0,31,10,8,86,1,75,1529,28,0,933,1712,1740,807
371,2016,Concrete,0.325,0.175,0.5,562,266,296,0,16,3,0,49,1,7,486,0,0,395,562,562,167
372,2016,Coupeville,0.28,0.29,0.43,991,518,473,0,0,12,11,141,2,118,707,31,1,365,960,990,626
373,2016,Davenport,0.31,0.31,0.37,622,329,293,0,12,6,1,20,0,11,572,6,1,380,616,621,242
374,2016,Deer Park,0.25,0.16,0.59,2572,1239,1333,0,65,14,38,135,2,18,2300,14,252,1307,2558,2320,1265
375,2016,East Valley (Spokane),0.3,0.22,0.49,4280,2061,2219,0,47,51,56,436,47,310,3333,123,153,2458,4157,4127,1822
376,2016,East Valley (Yakima),0.31,0.19,0.5,3225,1546,1679,0,29,25,28,1530,3,75,1535,423,53,1938,2802,3172,1287
377,2016,Eastmont,0.35,0.22,0.43,6154,2999,3155,0,21,44,20,2801,8,179,3081,1147,322,3424,5007,5832,2730
378,2016,Eatonville,0.14,0.26,0.6,1910,933,977,0,15,13,13,130,6,120,1613,9,28,857,1901,1882,1053
379,2016,Edmonds,0.346,0.386,0.266,21309,10213,11096,0,102,2746,1334,4319,161,2191,10456,2742,870,8584,18567,20439,12725
380,2016,Ellensburg,0.10500000000000001,0.44,0.45,3344,1627,1717,0,29,56,37,608,6,60,2548,246,221,1332,3098,3123,2012
381,2016,Elma,0.32499999999999996,0.105,0.5700000000000001,1437,706,731,0,15,12,7,291,0,125,987,116,22,1140,1321,1415,297
382,2016,Enumclaw,0.22,0.38,0.4,4077,1969,2108,0,47,24,29,619,15,168,3175,231,119,1411,3846,3958,2666
383,2016,Ephrata,0.28500000000000003,0.26,0.45499999999999996,2500,1197,1303,0,3,18,13,774,1,49,1642,282,103,1478,2218,2397,1022
384,2016,Everett,0.29500000000000004,0.37,0.3325,20465,10012,10453,0,111,2697,861,3833,284,1531,11148,2677,1085,8663,17788,19380,11802
385,2016,Evergreen (Clark),0.262,0.278,0.45600000000000007,26262,12654,13608,0,135,1663,716,5710,488,2135,15415,3572,1339,13499,22690,24923,12763
386,2016,Federal Way,0.268,0.376,0.354,23547,11404,12143,0,129,2635,3038,7029,1227,3032,6457,3956,936,15432,19591,22611,8115
387,2016,Ferndale,0.34,0.31,0.355,4834,2339,2495,0,409,161,48,914,9,345,2948,328,814,2281,4506,4020,2553
388,2016,Fife,0.29,0.31,0.4,3713,1819,1894,0,24,296,146,714,171,524,1838,542,0,1674,3171,3713,2039
389,2016,Finley,0.27,0.08,0.65,930,432,498,0,2,4,5,417,0,34,468,160,0,712,770,930,218
390,2016,Franklin Pierce,0.19666666666666668,0.3066666666666667,0.5033333333333333,7986,3905,4081,0,79,488,801,2150,450,1165,2853,773,1054,6410,7213,6932,1576
391,2016,Goldendale,0.22,0.18,0.6,952,450,502,0,44,8,5,145,1,40,709,35,12,578,917,940,374
392,2016,Grand Coulee Dam,0.15,0.35,0.5,759,364,395,0,285,2,4,84,3,166,215,112,0,549,647,759,210
393,2016,Grandview,0.30500000000000005,0.20500000000000002,0.495,3790,1870,1920,0,2,2,3,3497,0,12,274,1326,1,3273,2464,3789,517
394,2016,Granger,0.15,0.31,0.53,1591,777,814,0,44,0,1,1471,0,18,57,565,0,1368,1026,1591,223
395,2016,Granite Falls,0.25,0.19,0.56,1993,928,1065,0,43,10,26,205,6,115,1588,62,0,991,1931,1993,1002
396,2016,Highland,0.38,0.18,0.44,1206,587,619,0,3,2,4,904,0,21,272,351,75,982,855,1131,224
397,2016,Highline,0.2788888888888889,0.27,0.4488888888888889,20072,9617,10455,0,168,2861,2831,7613,858,1192,4549,5548,623,14277,14524,19449,5795
398,2016,Hockinson,0.29,0.43,0.28,1888,912,976,0,11,44,15,93,1,59,1665,36,82,384,1852,1806,1504
399,2016,Hoquiam,0.425,0.14,0.44,1617,777,840,0,91,14,23,279,1,103,1106,64,36,1102,1553,1581,515
400,2016,Issaquah,0.1875,0.6775,0.1325,20540,10065,10475,0,45,5581,359,1712,52,1474,11317,1307,813,1964,19233,19727,18576
401,2016,Kalama,0.41,0.15,0.44,974,445,529,0,10,10,11,66,5,17,855,33,15,371,941,959,603
402,2016,Kelso,0.33,0.155,0.515,5023,2481,2542,0,66,51,16,863,55,312,3660,326,121,3054,4697,4902,1969
403,2016,Kennewick,0.2975,0.265,0.435,18437,8817,9620,0,65,373,427,6603,34,692,10243,2615,252,10919,15822,18185,7518
404,2016,Kent,0.312,0.38,0.306,28039,13501,14538,0,111,5209,3275,6302,737,2668,9737,5428,353,14920,22611,27686,13119
405,2016,Kettle Falls,0.195,0.165,0.64,969,493,476,0,18,6,8,73,3,42,819,1,37,505,968,932,464
406,2016,Kittitas,0.23,0.4,0.37,666,324,342,0,0,6,6,150,0,8,496,57,0,318,609,666,348
