,Year,District,2 Year,4 Year,Not Enrolled,all_students,female,male,gender_x,american_indian_alaskan_native,asian,black_african_american,hispanic_latino_of_any_race,native_hawaiian_other_pacific,two_or_more_races,white,english_language_learners,highly_capable,low_income,non_english_language_learners,non_highly_capable,non_low_income
40,2014,Edmonds,0.33799999999999997,0.41200000000000003,0.25,20884,9989,10895,0,109,2613,1292,3917,139,2050,10764,2480,590,8803,18404,20294,12081
41,2014,Ellensburg,0.165,0.46499999999999997,0.37,3143,1573,1570,0,35,46,33,551,7,30,2441,256,164,1361,2887,2979,1782
42,2014,Elma,0.385,0.175,0.435,1507,745,762,0,22,13,9,245,0,115,1102,105,10,865,1402,1497,642
43,2014,Enumclaw,0.24,0.34,0.42,4106,1965,2141,0,61,23,34,583,11,160,3234,216,74,1418,3890,4032,2688
44,2014,Ephrata,0.36,0.235,0.405,2418,1168,1250,0,5,16,12,707,0,48,1629,250,25,1427,2168,2393,991
45,2014,Everett,0.335,0.3375,0.3275,19764,9735,10029,0,133,2451,795,3441,271,1285,11388,2341,973,8739,17423,18791,11025
46,2014,Evergreen (Clark),0.31,0.25,0.435,26446,12781,13665,0,145,1741,789,4907,442,2023,16399,3118,1277,13723,23328,25169,12723
47,2014,Federal Way,0.262,0.33799999999999997,0.40199999999999997,22919,11181,11738,0,144,2686,2744,6208,1057,2760,7320,3661,1111,14605,19258,21808,8314
48,2014,Ferndale,0.365,0.255,0.38,4958,2414,2544,0,427,170,51,890,8,284,3128,280,1114,2596,4678,3844,2362
49,2014,Fife,0.37,0.26,0.37,3637,1774,1863,0,35,265,136,709,128,461,1903,418,0,1740,3219,3637,1897
50,2014,Finley,0.29,0.18,0.53,913,417,496,0,5,2,3,376,0,37,490,133,0,714,780,913,199
51,2014,Franklin Pierce,0.2833333333333334,0.25333333333333335,0.4666666666666666,7820,3787,4033,0,73,529,835,1985,421,1026,2951,675,1218,6269,7145,6602,1551
52,2014,Goldendale,0.28,0.29,0.43,934,425,509,0,45,11,5,119,2,48,704,29,21,567,905,913,367
53,2014,Grand Coulee Dam,0.22,0.22,0.56,785,388,397,0,306,4,3,87,2,156,227,0,0,545,785,785,240
54,2014,Grandview,0.29500000000000004,0.175,0.53,3727,1856,1871,0,1,2,3,3433,0,16,272,1262,0,3148,2465,3727,579
55,2014,Granger,0.18,0.28,0.54,1593,740,853,0,44,0,1,1484,0,19,45,633,0,1343,960,1593,250
56,2014,Granite Falls,0.215,0.185,0.6000000000000001,2043,970,1073,0,39,21,19,185,6,86,1685,33,0,953,2010,2043,1090
57,2014,Highland,0.28,0.32,0.39,1214,570,644,0,8,4,6,874,0,28,294,309,66,968,905,1148,246
58,2014,Highline,0.35,0.28625,0.365,19630,9362,10268,0,181,2804,2515,7389,829,1312,4599,5018,528,14256,14612,19102,5374
59,2014,Hockinson,0.22,0.46,0.32,1929,918,1011,0,6,37,14,86,0,52,1734,23,148,442,1906,1781,1487
60,2014,Hoquiam,0.48,0.15000000000000002,0.37,1680,832,848,0,92,14,26,315,2,70,1160,49,38,1213,1631,1642,467
61,2014,Issaquah,0.2125,0.64,0.14750000000000002,19424,9541,9883,0,40,4751,341,1505,62,1227,11498,1026,664,2102,18398,18760,17322
62,2014,Kalama,0.27,0.16,0.57,941,450,491,0,6,10,9,45,4,21,846,5,20,398,936,921,543
63,2014,Kelso,0.335,0.185,0.485,4939,2446,2493,0,81,55,23,807,30,345,3598,262,0,2981,4677,4939,1958
64,2014,Kennewick,0.325,0.2525,0.4225,17568,8395,9173,0,92,380,429,5159,34,480,10994,2253,179,10525,15315,17389,7043
65,2014,Kent,0.384,0.356,0.26,28108,13399,14709,0,126,4874,3458,6008,671,2664,10306,5084,497,15806,23024,27611,12302
66,2014,Kettle Falls,0.245,0.26,0.49,928,465,463,0,24,8,4,54,3,24,811,0,18,515,928,910,413
